dtutc,Unnamed: 0,imb,bpx,nrv,si
2023-01-01 00:00:00,1.5,31.0575,-1.75,-95.45,108.19999999999999
2023-01-01 01:00:00,5.5,39.735,-1.46,-50.85,88.25
2023-01-01 02:00:00,9.5,-46.635,-5.27,-152.325,161.475
2023-01-01 03:00:00,13.5,-47.5375,-4.41,-49.2,77.125
2023-01-01 04:00:00,17.5,-13.635000000000002,-5.4,-77.075,92.1
2023-01-01 05:00:00,21.5,-11.62,-4.69,-9.799999999999999,39.525
2023-01-01 06:00:00,25.5,-11.379999999999999,-1.31,-8.15,35.325
2023-01-01 07:00:00,29.5,36.4825,-1.57,55.975,-24.549999999999997
2023-01-01 08:00:00,33.5,20.9775,-1.03,-14.9,49.125
2023-01-01 09:00:00,37.5,-67.72,-0.23,-210.55,223.02499999999998
2023-01-01 10:00:00,41.5,-157.395,-0.74,-407.55,377.425
2023-01-01 11:00:00,45.5,-110.205,-0.57,-130.45,143.02499999999998
2023-01-01 12:00:00,49.5,244.56,-0.12,95.725,-108.275
2023-01-01 13:00:00,53.5,84.0075,0.85,-19.549999999999997,7.549999999999997
2023-01-01 14:00:00,57.5,100.13499999999999,23.5,-3.9750000000000014,-13.650000000000002
2023-01-01 15:00:00,61.5,225.5,36.54,74.175,-177.125
2023-01-01 16:00:00,65.5,190.8175,46.03,19.674999999999997,-33.949999999999996
2023-01-01 17:00:00,69.5,76.5375,36.64,4.300000000000001,-16.125
2023-01-01 18:00:00,73.5,358.39,54.95,242.525,-250.95
2023-01-01 19:00:00,77.5,106.5625,45.83,39.175,-39.975
2023-01-01 20:00:00,81.5,-151.0575,36.57,-159.9,203.325
2023-01-01 21:00:00,85.5,-106.68,45.96,-303.55,267.325
2023-01-01 22:00:00,89.5,-113.82,35.0,-273.5,263.775
2023-01-01 23:00:00,93.5,-116.31,69.92,-121.55,125.025
2023-01-02 00:00:00,97.5,30.3525,59.14,-5.424999999999997,-7.124999999999998
2023-01-02 01:00:00,101.5,-105.4675,52.93,-152.4,144.9
2023-01-02 02:00:00,105.5,-85.96000000000001,42.59,-169.55,157.75
2023-01-02 03:00:00,109.5,-90.9775,50.08,-93.625,86.025
2023-01-02 04:00:00,113.5,-128.6825,69.72,-170.925,196.4
2023-01-02 05:00:00,117.5,-275.0,105.08,-203.1,275.125
2023-01-02 06:00:00,121.5,-140.445,140.64,-150.475,187.175
2023-01-02 07:00:00,125.5,-112.5,151.89,-125.95,119.47500000000001
2023-01-02 08:00:00,129.5,175.0,158.84,46.075,-59.425
2023-01-02 09:00:00,133.5,125.59,145.61,27.275,-19.25
2023-01-02 10:00:00,137.5,-26.002499999999998,143.35,-73.975,68.325
2023-01-02 11:00:00,141.5,282.9075,144.38,166.775,-164.47500000000002
2023-01-02 12:00:00,145.5,309.1325,143.76,125.475,-133.55
2023-01-02 13:00:00,149.5,-4.322500000000005,148.2,-41.975,33.2
2023-01-02 14:00:00,153.5,0.0,155.34,-31.375,21.275
2023-01-02 15:00:00,157.5,87.25999999999999,163.3,15.575,-29.425
2023-01-02 16:00:00,161.5,67.73,175.81,23.925,-26.5
2023-01-02 17:00:00,165.5,211.5575,174.74,119.0,-122.875
2023-01-02 18:00:00,169.5,62.73,166.45,-9.924999999999999,20.325000000000003
2023-01-02 19:00:00,173.5,143.60500000000002,153.0,51.3,-47.7
2023-01-02 20:00:00,177.5,92.1775,141.67,-5.525,7.75
2023-01-02 21:00:00,181.5,144.515,134.91,38.925,-44.050000000000004
2023-01-02 22:00:00,185.5,165.995,124.22,48.9,-45.074999999999996
2023-01-02 23:00:00,189.5,186.35750000000002,130.01,58.900000000000006,-53.55
