,dtutc,imb,bpx,nrv,si
0,2023-01-01 00:00:00,176.87,-1.75,-47.3,-25.2
1,2023-01-01 00:15:00,-16.34,-1.75,-16.6,80.6
2,2023-01-01 00:30:00,-17.12,-1.75,-140.9,167.6
3,2023-01-01 00:45:00,-19.18,-1.75,-177.0,209.8
4,2023-01-01 01:00:00,208.21,-1.46,43.6,-55.8
5,2023-01-01 01:15:00,-15.98,-1.46,-43.3,95.3
6,2023-01-01 01:30:00,-12.37,-1.46,-60.7,104.2
7,2023-01-01 01:45:00,-20.92,-1.46,-143.0,209.3
8,2023-01-01 02:00:00,-17.07,-5.27,-155.5,141.4
9,2023-01-01 02:15:00,-15.47,-5.27,-126.3,175.2
10,2023-01-01 02:30:00,-69.1,-5.27,-208.1,205.1
11,2023-01-01 02:45:00,-84.9,-5.27,-119.4,124.2
12,2023-01-01 03:00:00,-84.9,-4.41,-43.9,62.6
13,2023-01-01 03:15:00,-84.9,-4.41,-71.9,93.5
14,2023-01-01 03:30:00,-10.0,-4.41,-18.1,41.2
15,2023-01-01 03:45:00,-10.35,-4.41,-62.9,111.2
16,2023-01-01 04:00:00,-17.41,-5.4,-161.9,160.2
17,2023-01-01 04:15:00,-12.23,-5.4,-108.3,149.7
18,2023-01-01 04:30:00,-84.9,-5.4,-78.6,86.0
19,2023-01-01 04:45:00,60.0,-5.4,40.5,-27.5
20,2023-01-01 05:00:00,-11.29,-4.69,55.6,11.1
21,2023-01-01 05:15:00,-15.19,-4.69,-98.0,97.7
22,2023-01-01 05:30:00,-10.0,-4.69,5.0,19.8
23,2023-01-01 05:45:00,-10.0,-4.69,-1.8,29.5
24,2023-01-01 06:00:00,-10.0,-1.31,-12.2,40.3
25,2023-01-01 06:15:00,-13.9,-1.31,-23.3,63.1
26,2023-01-01 06:30:00,-11.62,-1.31,-5.0,15.0
27,2023-01-01 06:45:00,-10.0,-1.31,7.9,22.9
28,2023-01-01 07:00:00,-15.08,-1.57,-83.5,93.9
29,2023-01-01 07:15:00,113.19,-1.57,127.6,-101.8
30,2023-01-01 07:30:00,55.0,-1.57,120.7,-91.8
31,2023-01-01 07:45:00,-7.18,-1.57,59.1,1.5
32,2023-01-01 08:00:00,-17.91,-1.03,-149.5,182.5
33,2023-01-01 08:15:00,55.0,-1.03,86.0,-64.9
34,2023-01-01 08:30:00,55.0,-1.03,28.2,-4.0
35,2023-01-01 08:45:00,-8.18,-1.03,-24.3,82.9
36,2023-01-01 09:00:00,-22.3,-0.23,-226.2,204.4
37,2023-01-01 09:15:00,-88.9,-0.23,-236.9,263.4
38,2023-01-01 09:30:00,-69.84,-0.23,-150.6,208.7
39,2023-01-01 09:45:00,-89.84,-0.23,-228.5,215.6
