,dtutc,bpx
0,2023-01-01 00:00:00,-1.75
1,2023-01-01 00:15:00,-1.75
2,2023-01-01 00:30:00,-1.75
3,2023-01-01 00:45:00,-1.75
4,2023-01-01 01:00:00,-1.46
5,2023-01-01 01:15:00,-1.46
6,2023-01-01 01:30:00,-1.46
7,2023-01-01 01:45:00,-1.46
8,2023-01-01 02:00:00,-5.27
9,2023-01-01 02:15:00,-5.27
10,2023-01-01 02:30:00,-5.27
11,2023-01-01 02:45:00,-5.27
12,2023-01-01 03:00:00,-4.41
13,2023-01-01 03:15:00,-4.41
14,2023-01-01 03:30:00,-4.41
15,2023-01-01 03:45:00,-4.41
16,2023-01-01 04:00:00,-5.4
17,2023-01-01 04:15:00,-5.4
18,2023-01-01 04:30:00,-5.4
19,2023-01-01 04:45:00,-5.4
20,2023-01-01 05:00:00,-4.69
21,2023-01-01 05:15:00,-4.69
22,2023-01-01 05:30:00,-4.69
23,2023-01-01 05:45:00,-4.69
24,2023-01-01 06:00:00,-1.31
25,2023-01-01 06:15:00,-1.31
26,2023-01-01 06:30:00,-1.31
27,2023-01-01 06:45:00,-1.31
28,2023-01-01 07:00:00,-1.57
29,2023-01-01 07:15:00,-1.57
30,2023-01-01 07:30:00,-1.57
31,2023-01-01 07:45:00,-1.57
32,2023-01-01 08:00:00,-1.03
33,2023-01-01 08:15:00,-1.03
34,2023-01-01 08:30:00,-1.03
35,2023-01-01 08:45:00,-1.03
36,2023-01-01 09:00:00,-0.23
37,2023-01-01 09:15:00,-0.23
38,2023-01-01 09:30:00,-0.23
39,2023-01-01 09:45:00,-0.23
40,2023-01-01 10:00:00,-0.74
41,2023-01-01 10:15:00,-0.74
42,2023-01-01 10:30:00,-0.74
43,2023-01-01 10:45:00,-0.74
44,2023-01-01 11:00:00,-0.57
45,2023-01-01 11:15:00,-0.57
46,2023-01-01 11:30:00,-0.57
47,2023-01-01 11:45:00,-0.57
48,2023-01-01 12:00:00,-0.12
49,2023-01-01 12:15:00,-0.12
50,2023-01-01 12:30:00,-0.12
51,2023-01-01 12:45:00,-0.12
52,2023-01-01 13:00:00,0.85
53,2023-01-01 13:15:00,0.85
54,2023-01-01 13:30:00,0.85
55,2023-01-01 13:45:00,0.85
56,2023-01-01 14:00:00,23.5
57,2023-01-01 14:15:00,23.5
58,2023-01-01 14:30:00,23.5
59,2023-01-01 14:45:00,23.5
60,2023-01-01 15:00:00,36.54
61,2023-01-01 15:15:00,36.54
62,2023-01-01 15:30:00,36.54
63,2023-01-01 15:45:00,36.54
64,2023-01-01 16:00:00,46.03
65,2023-01-01 16:15:00,46.03
66,2023-01-01 16:30:00,46.03
67,2023-01-01 16:45:00,46.03
68,2023-01-01 17:00:00,36.64
69,2023-01-01 17:15:00,36.64
70,2023-01-01 17:30:00,36.64
71,2023-01-01 17:45:00,36.64
72,2023-01-01 18:00:00,54.95
73,2023-01-01 18:15:00,54.95
74,2023-01-01 18:30:00,54.95
75,2023-01-01 18:45:00,54.95
76,2023-01-01 19:00:00,45.83
77,2023-01-01 19:15:00,45.83
78,2023-01-01 19:30:00,45.83
79,2023-01-01 19:45:00,45.83
80,2023-01-01 20:00:00,36.57
81,2023-01-01 20:15:00,36.57
82,2023-01-01 20:30:00,36.57
83,2023-01-01 20:45:00,36.57
84,2023-01-01 21:00:00,45.96
85,2023-01-01 21:15:00,45.96
86,2023-01-01 21:30:00,45.96
87,2023-01-01 21:45:00,45.96
88,2023-01-01 22:00:00,35.0
89,2023-01-01 22:15:00,35.0
90,2023-01-01 22:30:00,35.0
91,2023-01-01 22:45:00,35.0
92,2023-01-01 23:00:00,69.92
93,2023-01-01 23:15:00,69.92
94,2023-01-01 23:30:00,69.92
95,2023-01-01 23:45:00,69.92
96,2023-01-02 00:00:00,59.14
97,2023-01-02 00:15:00,59.14
98,2023-01-02 00:30:00,59.14
99,2023-01-02 00:45:00,59.14
100,2023-01-02 01:00:00,52.93
101,2023-01-02 01:15:00,52.93
102,2023-01-02 01:30:00,52.93
103,2023-01-02 01:45:00,52.93
104,2023-01-02 02:00:00,42.59
105,2023-01-02 02:15:00,42.59
106,2023-01-02 02:30:00,42.59
107,2023-01-02 02:45:00,42.59
108,2023-01-02 03:00:00,50.08
109,2023-01-02 03:15:00,50.08
110,2023-01-02 03:30:00,50.08
111,2023-01-02 03:45:00,50.08
112,2023-01-02 04:00:00,69.72
113,2023-01-02 04:15:00,69.72
114,2023-01-02 04:30:00,69.72
115,2023-01-02 04:45:00,69.72
116,2023-01-02 05:00:00,105.08
117,2023-01-02 05:15:00,105.08
118,2023-01-02 05:30:00,105.08
119,2023-01-02 05:45:00,105.08
120,2023-01-02 06:00:00,140.64
121,2023-01-02 06:15:00,140.64
122,2023-01-02 06:30:00,140.64
123,2023-01-02 06:45:00,140.64
124,2023-01-02 07:00:00,151.89
125,2023-01-02 07:15:00,151.89
126,2023-01-02 07:30:00,151.89
127,2023-01-02 07:45:00,151.89
128,2023-01-02 08:00:00,158.84
129,2023-01-02 08:15:00,158.84
130,2023-01-02 08:30:00,158.84
131,2023-01-02 08:45:00,158.84
132,2023-01-02 09:00:00,145.61
133,2023-01-02 09:15:00,145.61
134,2023-01-02 09:30:00,145.61
135,2023-01-02 09:45:00,145.61
136,2023-01-02 10:00:00,143.35
137,2023-01-02 10:15:00,143.35
138,2023-01-02 10:30:00,143.35
139,2023-01-02 10:45:00,143.35
140,2023-01-02 11:00:00,144.38
141,2023-01-02 11:15:00,144.38
142,2023-01-02 11:30:00,144.38
143,2023-01-02 11:45:00,144.38
144,2023-01-02 12:00:00,143.76
145,2023-01-02 12:15:00,143.76
146,2023-01-02 12:30:00,143.76
147,2023-01-02 12:45:00,143.76
148,2023-01-02 13:00:00,148.2
149,2023-01-02 13:15:00,148.2
150,2023-01-02 13:30:00,148.2
151,2023-01-02 13:45:00,148.2
152,2023-01-02 14:00:00,155.34
153,2023-01-02 14:15:00,155.34
154,2023-01-02 14:30:00,155.34
155,2023-01-02 14:45:00,155.34
156,2023-01-02 15:00:00,163.3
157,2023-01-02 15:15:00,163.3
158,2023-01-02 15:30:00,163.3
159,2023-01-02 15:45:00,163.3
160,2023-01-02 16:00:00,175.81
161,2023-01-02 16:15:00,175.81
162,2023-01-02 16:30:00,175.81
163,2023-01-02 16:45:00,175.81
164,2023-01-02 17:00:00,174.74
165,2023-01-02 17:15:00,174.74
166,2023-01-02 17:30:00,174.74
167,2023-01-02 17:45:00,174.74
168,2023-01-02 18:00:00,166.45
169,2023-01-02 18:15:00,166.45
170,2023-01-02 18:30:00,166.45
171,2023-01-02 18:45:00,166.45
172,2023-01-02 19:00:00,153.0
173,2023-01-02 19:15:00,153.0
174,2023-01-02 19:30:00,153.0
175,2023-01-02 19:45:00,153.0
176,2023-01-02 20:00:00,141.67
177,2023-01-02 20:15:00,141.67
178,2023-01-02 20:30:00,141.67
179,2023-01-02 20:45:00,141.67
180,2023-01-02 21:00:00,134.91
181,2023-01-02 21:15:00,134.91
182,2023-01-02 21:30:00,134.91
183,2023-01-02 21:45:00,134.91
184,2023-01-02 22:00:00,124.22
185,2023-01-02 22:15:00,124.22
186,2023-01-02 22:30:00,124.22
187,2023-01-02 22:45:00,124.22
188,2023-01-02 23:00:00,130.01
189,2023-01-02 23:15:00,130.01
190,2023-01-02 23:30:00,130.01
191,2023-01-02 23:45:00,130.01
192,2023-01-03 00:00:00,120.0
193,2023-01-03 00:15:00,120.0
194,2023-01-03 00:30:00,120.0
195,2023-01-03 00:45:00,120.0
196,2023-01-03 01:00:00,118.76
197,2023-01-03 01:15:00,118.76
198,2023-01-03 01:30:00,118.76
199,2023-01-03 01:45:00,118.76
200,2023-01-03 02:00:00,115.0
201,2023-01-03 02:15:00,115.0
202,2023-01-03 02:30:00,115.0
203,2023-01-03 02:45:00,115.0
204,2023-01-03 03:00:00,113.63
205,2023-01-03 03:15:00,113.63
206,2023-01-03 03:30:00,113.63
207,2023-01-03 03:45:00,113.63
208,2023-01-03 04:00:00,116.27
209,2023-01-03 04:15:00,116.27
210,2023-01-03 04:30:00,116.27
211,2023-01-03 04:45:00,116.27
212,2023-01-03 05:00:00,138.92
213,2023-01-03 05:15:00,138.92
214,2023-01-03 05:30:00,138.92
215,2023-01-03 05:45:00,138.92
216,2023-01-03 06:00:00,159.92
217,2023-01-03 06:15:00,159.92
218,2023-01-03 06:30:00,159.92
219,2023-01-03 06:45:00,159.92
220,2023-01-03 07:00:00,169.17
221,2023-01-03 07:15:00,169.17
222,2023-01-03 07:30:00,169.17
223,2023-01-03 07:45:00,169.17
224,2023-01-03 08:00:00,171.18
225,2023-01-03 08:15:00,171.18
226,2023-01-03 08:30:00,171.18
227,2023-01-03 08:45:00,171.18
228,2023-01-03 09:00:00,168.57
229,2023-01-03 09:15:00,168.57
230,2023-01-03 09:30:00,168.57
231,2023-01-03 09:45:00,168.57
232,2023-01-03 10:00:00,169.49
233,2023-01-03 10:15:00,169.49
234,2023-01-03 10:30:00,169.49
235,2023-01-03 10:45:00,169.49
236,2023-01-03 11:00:00,164.5
237,2023-01-03 11:15:00,164.5
238,2023-01-03 11:30:00,164.5
239,2023-01-03 11:45:00,164.5
240,2023-01-03 12:00:00,160.91
241,2023-01-03 12:15:00,160.91
242,2023-01-03 12:30:00,160.91
243,2023-01-03 12:45:00,160.91
244,2023-01-03 13:00:00,163.06
245,2023-01-03 13:15:00,163.06
246,2023-01-03 13:30:00,163.06
247,2023-01-03 13:45:00,163.06
248,2023-01-03 14:00:00,166.64
249,2023-01-03 14:15:00,166.64
250,2023-01-03 14:30:00,166.64
251,2023-01-03 14:45:00,166.64
252,2023-01-03 15:00:00,166.64
253,2023-01-03 15:15:00,166.64
254,2023-01-03 15:30:00,166.64
255,2023-01-03 15:45:00,166.64
256,2023-01-03 16:00:00,170.95
257,2023-01-03 16:15:00,170.95
258,2023-01-03 16:30:00,170.95
259,2023-01-03 16:45:00,170.95
260,2023-01-03 17:00:00,168.97
261,2023-01-03 17:15:00,168.97
262,2023-01-03 17:30:00,168.97
263,2023-01-03 17:45:00,168.97
264,2023-01-03 18:00:00,160.99
265,2023-01-03 18:15:00,160.99
266,2023-01-03 18:30:00,160.99
267,2023-01-03 18:45:00,160.99
268,2023-01-03 19:00:00,149.62
269,2023-01-03 19:15:00,149.62
270,2023-01-03 19:30:00,149.62
271,2023-01-03 19:45:00,149.62
272,2023-01-03 20:00:00,131.04
273,2023-01-03 20:15:00,131.04
274,2023-01-03 20:30:00,131.04
275,2023-01-03 20:45:00,131.04
276,2023-01-03 21:00:00,114.69
277,2023-01-03 21:15:00,114.69
278,2023-01-03 21:30:00,114.69
279,2023-01-03 21:45:00,114.69
280,2023-01-03 22:00:00,93.76
281,2023-01-03 22:15:00,93.76
282,2023-01-03 22:30:00,93.76
283,2023-01-03 22:45:00,93.76
284,2023-01-03 23:00:00,80.17
285,2023-01-03 23:15:00,80.17
286,2023-01-03 23:30:00,80.17
287,2023-01-03 23:45:00,80.17
288,2023-01-04 00:00:00,69.32
289,2023-01-04 00:15:00,69.32
290,2023-01-04 00:30:00,69.32
291,2023-01-04 00:45:00,69.32
292,2023-01-04 01:00:00,39.58
293,2023-01-04 01:15:00,39.58
294,2023-01-04 01:30:00,39.58
295,2023-01-04 01:45:00,39.58
296,2023-01-04 02:00:00,2.62
