Model,RMSE,Total_RMSE,Rolling_RMSE
MultiTaskElasticNet,"[0.11628835532295613, 0.3443319984977392, 0.08764993344989079, 0.3146514697145506, 0.4987192753071254, 0.2492676288702331]",1.6109086611624952,0.3891495590873841
ElasticNet,"[0.11794182581995086, 0.3469747870466847, 0.08776247057394913, 0.31416691645198597, 0.4982842315164695, 0.2512171126935837]",1.616347344102624,0.37464737012793903
MultiTaskLasso,"[0.11801281839985615, 0.3517210681479509, 0.08731664173010158, 0.30907292737725384, 0.5005415704945393, 0.25108287348607766]",1.6177478996357795,0.3585456491536443
Lasso Regression,"[0.11794182581995086, 0.35296899515856944, 0.08776247057394913, 0.30907100887024175, 0.501754057563656, 0.2512171126935837]",1.6207154706799511,0.35485025087197447
KNN,"[0.10644798303721688, 0.3743330042156349, 0.0993767861733489, 0.33363644322620783, 0.510053369433815, 0.24677027222783549]",1.670617858314059,0.32138836248610475
Random Forest,"[0.09850987624272418, 0.3455481579979632, 0.10554473001048643, 0.3751527085714508, 0.5031066608728533, 0.24574854633356272]",1.6736106800290407,0.3513600098805019
RegressorChain Ridge,"[0.1136095055178926, 0.33925588236986043, 0.10392322220598615, 0.4099642469304236, 0.5108408825972949, 0.25658777123868504]",1.7341815108601426,0.661599298136151
Ridge Regression,"[0.11360950551789262, 0.33925588236986043, 0.10392322220598617, 0.40996424693042366, 0.5108408825972949, 0.25658777123868504]",1.7341815108601428,0.661599298136151
XGBoost,"[0.12718292572420983, 0.3740163084968473, 0.12328772610974584, 0.4129038039760019, 0.5230547121026845, 0.2476687539741436]",1.8081142303836328,0.4277881448187454
K-means Reference,"[0.1899999999999999, 0.3964425136973413, 0.4988820835962475, 0.4558325716020449, 0.3435355391610403, 0.6132155684042385, 0.4251666339997374, 0.7214222064782869, 0.8097324661063472, 0.7553365695723551, 0.5301572093885611, 0.7147260547463856, 0.7809396050058331, 0.3112608766506535, 0.87580439216376, 0.2668020489676443, 0.6016782085688883, 0.6421967507444013, 0.5836808488663419, 0.6906397999922487, 0.7083313725463056, 0.6669207849012756, 1.1596479350791484, 1.3801932231877294, 1.7088300090997934, 1.6087676442958856, 0.3882653731663434, 0.6337454799312838, 0.6356886030125127, 0.6916405617563697, 0.7492996730280882, 0.875728268357257, 0.7021870595978444, 1.1774548823628022, 0.6843610158388627, 0.3568146110610756, 0.6706340283642039, 0.5592703579963213, 0.4389191269470949, 0.6380961265096872, 0.845438742113624, 1.0418573158867133, 0.7494553577988039, 0.6717390366305453, 0.5849501403253671, 0.2952682396285339, 0.4015594601052252, 0.5885433997024632, 0.805532949874388, 0.8772684879784524, 0.7945963335765734, 0.6738199561702914, 0.4447283815244236, 0.3027650354097491, 0.6923751391646968, 2.1912439389533973, 0.3482336380458768, 0.6386183001866867, 0.8476634552305137, 0.735753581937141, 0.8010201828501785, 1.417544825863836, 0.8927578992462999, 1.6859369304138672, 0.4703721930556695, 1.3184713370667815, 0.5809761899883104, 0.9637599977864476, 0.8800284086323577, 1.0663410961476318, 0.5390269009984565, 0.7290518957294236, 1.145476611139078, 1.096251187760664, 2.282432912486148, 1.6246999723025788, 0.7531046850648764, 0.8473783098474965, 1.3546832348068187, 1.447595707831898, 2.4020165139593304, 2.0178206064960285, 1.9913688759242976, 0.8356534369382242, 2.381137683265432, 2.805381732789081, 1.7555008781921282, 1.4767926959010418, 0.9917492962773742, 2.359452620136007, 2.850154966547141]",85.93759876044062,
Euclidean Reference,"[0.3441898700814227, 0.5399845676807192, 0.3180146747138145, 0.7712651943397939, 0.3435355391610403, 0.9131538753134656, 0.3725363516938089, 0.6393877279606378, 1.1080312871635587, 1.04430997952396, 0.7091779278385174, 0.8074858099888402, 0.3946939742804966, 0.5783741580211437, 0.8112849889732542, 0.7746504588092189, 0.5832380874622873, 0.6421967507444013, 0.6307138812488593, 0.6906397999922487, 0.7063875234836282, 1.823723297725471, 1.6373708600476964, 1.4796733873843015, 1.3830883317175853, 1.612399867692048, 0.3882653731663434, 1.0465658125507444, 0.4650268809434568, 0.6153698075141484, 0.7539672848782409, 0.4439969969868415, 0.8900093632466272, 1.1774548823628022, 0.6843610158388627, 0.9624274864459486, 0.2548201980482185, 1.3331103980291106, 0.4237137398448784, 0.7260739172655449, 0.9210591729091024, 0.5246427355829868, 0.6145323425174627, 0.6299603162104737, 0.7759402897989853, 0.2952682396285339, 0.4015594601052252, 0.5885433997024632, 0.2709858544893687, 0.8772684879784524, 0.9437778693456776, 1.1528804505816437, 0.4514975082987723, 0.3027650354097491, 0.6816524040887703, 1.9809257095274089, 0.3482336380458768, 0.6386183001866867, 0.8829401640730437, 0.4121286206998975, 0.3379102444930212, 1.2978893121783024, 0.8927578992462999, 0.786468901694996, 0.9883234962973072, 1.0131140113531152, 0.9154233993076648, 0.9910348127084132, 0.8800284086323577, 1.0772805267586216, 0.5390269009984565, 1.0984838035522722, 0.8917211821341169, 2.0831066543346584, 1.6179204760020398, 2.1948500328420315, 1.9060167890131503, 1.1073015247287734, 1.257457752769452, 1.9562762245313587, 2.477471829641392, 2.108459153030952, 1.8423264278261515, 0.8518411432499214, 1.7986430070101924, 5.271122587583534, 0.3695041722813604, 1.863169342813476, 0.9917492962773742, 2.359452620136007, 2.850154966547141]",92.13613822931849,
