del_date,ref_date,pnl_da
2024-06-01,,4926.32
2024-06-02,,6602.64
2024-06-03,,3632.98
2024-06-04,,6124.43
2024-06-05,,10150.72
2024-06-06,,5749.44
2024-06-07,,8282.49
2024-06-08,,9092.34
2024-06-09,,9890.18
2024-06-10,,7024.89
2024-06-11,,5118.74
2024-06-12,,2985.37
2024-06-13,,3178.7
2024-06-14,,7028.81
2024-06-15,,6344.86
2024-06-16,,5968.22
2024-06-17,,4385.57
2024-06-18,,3091.81
2024-06-19,,3061.31
2024-06-20,,4640.24
2024-06-21,,4391.55
2024-06-22,,4469.87
2024-06-23,,2762.6
2024-06-24,,3149.69
2024-06-25,,3869.24
2024-06-26,,5157.16
2024-06-27,,8084.88
2024-06-28,,11911.2
2024-06-29,,4123.59
2024-06-30,,4310.67
2024-07-01,,2817.34
2024-07-02,,4003.48
2024-07-03,,4463.51
2024-07-04,,8897.41
2024-07-05,,8225.83
2024-07-06,,9928.27
2024-07-07,,6446.42
2024-07-08,,3167.28
2024-07-09,,2806.29
2024-07-10,,6665.24
2024-07-11,,4019.21
2024-07-12,,2512.84
2024-07-13,,4300.64
2024-07-14,,5372.88
2024-07-15,,2609.35
2024-07-16,,4466.84
2024-07-17,,3931.86
2024-07-18,,4545.39
2024-07-19,,4247.78
2024-07-20,,2280.6
2024-07-21,,3108.91
2024-07-22,,4467.67
2024-07-23,,4657.55
2024-07-24,,2875.2
2024-07-25,,3436.45
2024-07-26,,3258.75
2024-07-27,,1941.01
2024-07-28,,1856.91
2024-07-29,,3974.5
2024-07-30,,3525.03
2024-07-31,,3090.89
2024-08-01,,3360.64
2024-08-02,,4499.91
2024-08-03,,3304.46
2024-08-04,,3647.92
2024-08-05,,6703.39
2024-08-06,,5792.9
2024-08-07,,7059.25
2024-08-08,,4562.93
2024-08-09,,10590.66
2024-08-10,,9191.77
2024-08-11,,2488.12
2024-08-12,,10492.87
2024-08-13,,6694.13
2024-08-14,,3970.38
2024-08-15,,9582.97
2024-08-16,,7531.2
2024-08-17,,6057.99
2024-08-18,,8971.69
2024-08-19,,4136.74
2024-08-20,,9991.44
2024-08-21,,12583.37
2024-08-22,,13597.75
2024-08-23,,12338.14
2024-08-24,,8054.73
2024-08-25,,9220.02
2024-08-26,,10603.62
2024-08-27,,10324.16
2024-08-28,,4875.22
2024-08-29,,7223.21
2024-08-30,,4629.12
2024-08-31,,7844.12
2024-09-01,,8506.18
2024-09-02,,4914.12
2024-09-03,,6074.73
2024-09-04,,4716.12
2024-09-05,,3939.41
2024-09-06,,5322.56
2024-09-07,,2740.7
2024-09-08,,4803.28
2024-09-09,,5908.65
2024-09-10,,13307.31
2024-09-11,,14261.54
2024-09-12,,7274.03
2024-09-13,,4502.9
2024-09-14,,7773.43
2024-09-15,,3964.12
2024-09-16,,5664.85
2024-09-17,,4525.22
2024-09-18,,4334.4
2024-09-19,,4728.76
2024-09-20,,4162.91
2024-09-21,,3244.16
2024-09-22,,2647.4
2024-09-23,,6008.83
2024-09-24,,4729.92
2024-09-25,,4251.01
2024-09-26,,4576.01
2024-09-27,,12967.04
2024-09-28,,6480.11
2024-09-29,,4525.9
2024-09-30,,8737.86
2024-10-01,,8628.4
2024-10-02,,5447.95
2024-10-03,,5395.45
2024-10-04,,6100.66
2024-10-05,,6766.44
2024-10-06,,7518.32
2024-10-07,,7082.43
2024-10-08,,4475.42
2024-10-09,,5420.61
2024-10-10,,7993.39
2024-10-11,,6168.9
2024-10-12,,5879.95
2024-10-13,,12554.48
2024-10-14,,10378.22
2024-10-15,,5075.98
2024-10-16,,9660.84
2024-10-17,,6851.97
2024-10-18,,6398.96
2024-10-19,,3592.99
2024-10-20,,7452.71
2024-10-21,,11965.95
2024-10-22,,8004.26
2024-10-23,,7043.36
2024-10-24,,7719.2
2024-10-25,,8144.81
2024-10-26,,5105.91
2024-10-27,,4649.41
2024-10-28,,7275.74
2024-10-29,,8768.68
2024-10-30,,8818.5
