Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
01/01/2024 00:00,01/01/2024 00:15,45.38,2024-01-01 00:00:00+01:00,2023-12-31 23:00:00+00:00
01/01/2024 00:15,01/01/2024 00:30,45.38,2024-01-01 00:15:00+01:00,2023-12-31 23:15:00+00:00
01/01/2024 00:30,01/01/2024 00:45,45.38,2024-01-01 00:30:00+01:00,2023-12-31 23:30:00+00:00
01/01/2024 00:45,01/01/2024 01:00,45.38,2024-01-01 00:45:00+01:00,2023-12-31 23:45:00+00:00
01/01/2024 01:00,01/01/2024 01:15,43.9,2024-01-01 01:00:00+01:00,2024-01-01 00:00:00+00:00
01/01/2024 01:15,01/01/2024 01:30,43.9,2024-01-01 01:15:00+01:00,2024-01-01 00:15:00+00:00
01/01/2024 01:30,01/01/2024 01:45,43.9,2024-01-01 01:30:00+01:00,2024-01-01 00:30:00+00:00
01/01/2024 01:45,01/01/2024 02:00,43.9,2024-01-01 01:45:00+01:00,2024-01-01 00:45:00+00:00
01/01/2024 02:00,01/01/2024 02:15,35.77,2024-01-01 02:00:00+01:00,2024-01-01 01:00:00+00:00
01/01/2024 02:15,01/01/2024 02:30,35.77,2024-01-01 02:15:00+01:00,2024-01-01 01:15:00+00:00
01/01/2024 02:30,01/01/2024 02:45,35.77,2024-01-01 02:30:00+01:00,2024-01-01 01:30:00+00:00
01/01/2024 02:45,01/01/2024 03:00,35.77,2024-01-01 02:45:00+01:00,2024-01-01 01:45:00+00:00
01/01/2024 03:00,01/01/2024 03:15,24.95,2024-01-01 03:00:00+01:00,2024-01-01 02:00:00+00:00
01/01/2024 03:15,01/01/2024 03:30,24.95,2024-01-01 03:15:00+01:00,2024-01-01 02:15:00+00:00
01/01/2024 03:30,01/01/2024 03:45,24.95,2024-01-01 03:30:00+01:00,2024-01-01 02:30:00+00:00
01/01/2024 03:45,01/01/2024 04:00,24.95,2024-01-01 03:45:00+01:00,2024-01-01 02:45:00+00:00
01/01/2024 04:00,01/01/2024 04:15,19.56,2024-01-01 04:00:00+01:00,2024-01-01 03:00:00+00:00
01/01/2024 04:15,01/01/2024 04:30,19.56,2024-01-01 04:15:00+01:00,2024-01-01 03:15:00+00:00
01/01/2024 04:30,01/01/2024 04:45,19.56,2024-01-01 04:30:00+01:00,2024-01-01 03:30:00+00:00
01/01/2024 04:45,01/01/2024 05:00,19.56,2024-01-01 04:45:00+01:00,2024-01-01 03:45:00+00:00
01/01/2024 05:00,01/01/2024 05:15,14.09,2024-01-01 05:00:00+01:00,2024-01-01 04:00:00+00:00
01/01/2024 05:15,01/01/2024 05:30,14.09,2024-01-01 05:15:00+01:00,2024-01-01 04:15:00+00:00
01/01/2024 05:30,01/01/2024 05:45,14.09,2024-01-01 05:30:00+01:00,2024-01-01 04:30:00+00:00
01/01/2024 05:45,01/01/2024 06:00,14.09,2024-01-01 05:45:00+01:00,2024-01-01 04:45:00+00:00
01/01/2024 06:00,01/01/2024 06:15,14.76,2024-01-01 06:00:00+01:00,2024-01-01 05:00:00+00:00
01/01/2024 06:15,01/01/2024 06:30,14.76,2024-01-01 06:15:00+01:00,2024-01-01 05:15:00+00:00
