dtutc,dtgb,GMT Time,National Demand Outturn (INDO) - GB (MW),National Demand Forecast (NDF) - GB (MW)
2024-02-09 00:00:00+00:00,2024-02-09 00:00:00,09/02/2024 00:00:00,23968,23500
2024-02-09 00:30:00+00:00,2024-02-09 00:30:00,09/02/2024 00:30:00,24241,23700
2024-02-09 01:00:00+00:00,2024-02-09 01:00:00,09/02/2024 01:00:00,24000,23467
2024-02-09 01:30:00+00:00,2024-02-09 01:30:00,09/02/2024 01:30:00,23388,23045
2024-02-09 02:00:00+00:00,2024-02-09 02:00:00,09/02/2024 02:00:00,23107,22171
2024-02-09 02:30:00+00:00,2024-02-09 02:30:00,09/02/2024 02:30:00,22938,22420
2024-02-09 03:00:00+00:00,2024-02-09 03:00:00,09/02/2024 03:00:00,22726,22139
2024-02-09 03:30:00+00:00,2024-02-09 03:30:00,09/02/2024 03:30:00,22341,21950
2024-02-09 04:00:00+00:00,2024-02-09 04:00:00,09/02/2024 04:00:00,22192,21600
2024-02-09 04:30:00+00:00,2024-02-09 04:30:00,09/02/2024 04:30:00,22073,21725
2024-02-09 05:00:00+00:00,2024-02-09 05:00:00,09/02/2024 05:00:00,22636,22401
2024-02-09 05:30:00+00:00,2024-02-09 05:30:00,09/02/2024 05:30:00,23526,23386
2024-02-09 06:00:00+00:00,2024-02-09 06:00:00,09/02/2024 06:00:00,26027,25954
2024-02-09 06:30:00+00:00,2024-02-09 06:30:00,09/02/2024 06:30:00,28594,28346
2024-02-09 07:00:00+00:00,2024-02-09 07:00:00,09/02/2024 07:00:00,32080,31813
2024-02-09 07:30:00+00:00,2024-02-09 07:30:00,09/02/2024 07:30:00,33354,33180
2024-02-09 08:00:00+00:00,2024-02-09 08:00:00,09/02/2024 08:00:00,34619,34758
2024-02-09 08:30:00+00:00,2024-02-09 08:30:00,09/02/2024 08:30:00,34720,35100
2024-02-09 09:00:00+00:00,2024-02-09 09:00:00,09/02/2024 09:00:00,35142,35420
2024-02-09 09:30:00+00:00,2024-02-09 09:30:00,09/02/2024 09:30:00,35281,35356
2024-02-09 10:00:00+00:00,2024-02-09 10:00:00,09/02/2024 10:00:00,35458,35500
2024-02-09 10:30:00+00:00,2024-02-09 10:30:00,09/02/2024 10:30:00,35302,35478
2024-02-09 11:00:00+00:00,2024-02-09 11:00:00,09/02/2024 11:00:00,34977,35700
2024-02-09 11:30:00+00:00,2024-02-09 11:30:00,09/02/2024 11:30:00,34941,35235
2024-02-09 12:00:00+00:00,2024-02-09 12:00:00,09/02/2024 12:00:00,35310,35179
2024-02-09 12:30:00+00:00,2024-02-09 12:30:00,09/02/2024 12:30:00,35229,34683
2024-02-09 13:00:00+00:00,2024-02-09 13:00:00,09/02/2024 13:00:00,34821,34646
2024-02-09 13:30:00+00:00,2024-02-09 13:30:00,09/02/2024 13:30:00,34609,34600
2024-02-09 14:00:00+00:00,2024-02-09 14:00:00,09/02/2024 14:00:00,34041,34750
2024-02-09 14:30:00+00:00,2024-02-09 14:30:00,09/02/2024 14:30:00,34006,34600
2024-02-09 15:00:00+00:00,2024-02-09 15:00:00,09/02/2024 15:00:00,33933,34851
2024-02-09 15:30:00+00:00,2024-02-09 15:30:00,09/02/2024 15:30:00,34432,35596
2024-02-09 16:00:00+00:00,2024-02-09 16:00:00,09/02/2024 16:00:00,35288,36741
2024-02-09 16:30:00+00:00,2024-02-09 16:30:00,09/02/2024 16:30:00,36264,37672
2024-02-09 17:00:00+00:00,2024-02-09 17:00:00,09/02/2024 17:00:00,37407,38758
2024-02-09 17:30:00+00:00,2024-02-09 17:30:00,09/02/2024 17:30:00,38276,38800
2024-02-09 18:00:00+00:00,2024-02-09 18:00:00,09/02/2024 18:00:00,38463,38354
2024-02-09 18:30:00+00:00,2024-02-09 18:30:00,09/02/2024 18:30:00,37625,37764
2024-02-09 19:00:00+00:00,2024-02-09 19:00:00,09/02/2024 19:00:00,36700,37120
2024-02-09 19:30:00+00:00,2024-02-09 19:30:00,09/02/2024 19:30:00,35351,35888
2024-02-09 20:00:00+00:00,2024-02-09 20:00:00,09/02/2024 20:00:00,34434,34436
2024-02-09 20:30:00+00:00,2024-02-09 20:30:00,09/02/2024 20:30:00,33237,33100
2024-02-09 21:00:00+00:00,2024-02-09 21:00:00,09/02/2024 21:00:00,31708,31328
2024-02-09 21:30:00+00:00,2024-02-09 21:30:00,09/02/2024 21:30:00,30267,30144
2024-02-09 22:00:00+00:00,2024-02-09 22:00:00,09/02/2024 22:00:00,28648,28734
2024-02-09 22:30:00+00:00,2024-02-09 22:30:00,09/02/2024 22:30:00,27177,27399
2024-02-09 23:00:00+00:00,2024-02-09 23:00:00,09/02/2024 23:00:00,25648,25960
2024-02-09 23:30:00+00:00,2024-02-09 23:30:00,09/02/2024 23:30:00,24929,25000
2024-02-10 00:00:00+00:00,2024-02-10 00:00:00,10/02/2024 00:00:00,24956,24800
2024-02-10 00:30:00+00:00,2024-02-10 00:30:00,10/02/2024 00:30:00,25386,25100
2024-02-10 01:00:00+00:00,2024-02-10 01:00:00,10/02/2024 01:00:00,24764,24496
2024-02-10 01:30:00+00:00,2024-02-10 01:30:00,10/02/2024 01:30:00,24126,23924
2024-02-10 02:00:00+00:00,2024-02-10 02:00:00,10/02/2024 02:00:00,23585,23325
2024-02-10 02:30:00+00:00,2024-02-10 02:30:00,10/02/2024 02:30:00,23297,23023
2024-02-10 03:00:00+00:00,2024-02-10 03:00:00,10/02/2024 03:00:00,22643,22631
2024-02-10 03:30:00+00:00,2024-02-10 03:30:00,10/02/2024 03:30:00,22121,22113
2024-02-10 04:00:00+00:00,2024-02-10 04:00:00,10/02/2024 04:00:00,21896,21643
2024-02-10 04:30:00+00:00,2024-02-10 04:30:00,10/02/2024 04:30:00,21748,21600
2024-02-10 05:00:00+00:00,2024-02-10 05:00:00,10/02/2024 05:00:00,22049,21803
2024-02-10 05:30:00+00:00,2024-02-10 05:30:00,10/02/2024 05:30:00,22432,22230
2024-02-10 06:00:00+00:00,2024-02-10 06:00:00,10/02/2024 06:00:00,23541,23436
2024-02-10 06:30:00+00:00,2024-02-10 06:30:00,10/02/2024 06:30:00,24880,24495
2024-02-10 07:00:00+00:00,2024-02-10 07:00:00,10/02/2024 07:00:00,26050,26019
2024-02-10 07:30:00+00:00,2024-02-10 07:30:00,10/02/2024 07:30:00,26826,26957
