Model,RMSE,Total RMSE,Rolling RMSE
Linear Regression,"[0.8624278565860884, 1.8851217132284304, 0.8461148989979987, 4.3075032963075, 2.884332349057432, 1.0968425618242503]",11.8823426760017,0.45273664311612777
Ridge Regression,"[0.8553750121381749, 1.9622517285793275, 0.8627644714810555, 4.355317824921378, 2.822645985372221, 1.1097962413063345]",11.968151263798491,0.44313846936266044
Lasso Regression,"[0.5991429597289036, 1.2341298917277619, 0.47229421061670623, 3.279155291986224, 1.297636235579281, 1.1652252037293036]",8.04758379336818,0.10274313725305086
ElasticNet,"[0.5991429597289036, 1.138745481788874, 0.47229421061670623, 3.279155291986224, 1.2117521203478627, 1.1652252037293036]",7.866315268197875,0.17144746648089795
Random Forest,"[0.5188167231978391, 1.659884841488389, 0.5193049403352626, 3.271621318787266, 1.1746594042454324, 1.055880583920664]",8.200167811974854,0.28025749572261294
Gradient Boosting,"[0.6524754674446901, 1.6875141207880417, 0.6770800019807766, 3.231511494689793, 1.235577274991485, 1.0670458801622362]",8.551204240057023,0.33750607539280014
KNN,"[0.7003029281455403, 1.4201524391958351, 0.6356071638536437, 3.467800664721419, 1.2747108566511227, 1.1790116364110224]",8.677585688978583,0.23867135250845023
SVR,"[0.6571287975937926, 1.2369809212638385, 0.4731290330530716, 3.206882634237388, 1.258878364153465, 1.088608920532543]",7.921608670834099,0.26058334920138987
XGBoost,"[0.8574464930592832, 1.539688186258785, 0.5433959775491677, 3.3392096731527166, 1.3185633164609498, 1.0725670109440089]",8.670870657424912,0.31535417302847535
LightGBM,"[0.6941712190962928, 1.3922094682309898, 0.6372391151588638, 3.455400789194863, 1.221851419695728, 1.1754075974908875]",8.576279608867624,0.4542479021635022
Neural Network,"[1.9410294501344676, 4.505563520964956, 2.4844598287305284, 2.8619330264344693, 4.2512704359594355, 1.7560903659712366]",17.800346628195094,0.2638107792358345
Kernel Ridge,"[1.9314810445561372, 3.8149885974370434, 2.0201399657800914, 5.7779213627332915, 5.4737569263676145, 1.900412931626347]",20.918700828500526,2.3269363219964796
MultiTaskLasso,"[0.8415608624209869, 1.3652472036723473, 0.6945331740718372, 4.1728953031917335, 2.656362364010881, 1.211358161885383]",10.94195706925317,0.35459032211910735
MultiTaskElasticNet,"[0.8728573343025594, 1.3932550555638348, 0.7091608924672965, 4.2351439392226755, 2.7930480087422085, 1.2211156729848178]",11.22458090328339,0.3543991198457558
RegressorChain (Ridge),"[0.9819473836010641, 1.658336478413976, 0.7776846057616525, 4.561747769256914, 3.386697542236518, 1.199789676489517]",12.566203455759643,0.41313968048728755
