date,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month,price_1,price_2,price_3,price_4,price_5,price_6,is_holiday,month_sin,month_cos
2024-02-29,25562.5,25562.5,25562.5,0.0,,60.03,60.03,60.03,0.0,,,0.0,,0.0,0.0,0.0,0.0,,4071.0575,4071.0575,4071.0575,0.0,,,3,0,2,0.55,0.75,0.6,1.79,1.93,0.5,False,0.8660254037844386,0.5000000000000001
2024-03-01,31056.625,38659.5,22716.0,15943.5,4895.88396390718,60.59791666666666,80.17,50.74,29.43,8.232596388570341,9.241581497310332,29.43,0.1358560960743206,1199.1121875,4881.795,0.0,4881.795,1765.7547344731374,7725.077708333333,10308.235,4205.85,6102.385,1812.2766856547848,,4,0,3,0.5,1.51,1.25,2.46,1.52,0.0,False,1.0,6.123233995736766e-17
2024-03-02,28981.14583333333,36148.0,22862.5,13285.5,3770.812063616047,61.87166666666667,80.1,53.26,26.84,7.2737997167120705,7.181955231855831,26.84,0.1175626924016712,913.4871875,3562.73,0.0,3562.73,1307.6555690371474,6227.39,7185.985,4317.455,2868.53,787.7100985682569,,5,1,3,0.0,4.81,0.5,2.5,0.9,0.4,False,1.0,6.123233995736766e-17
2024-03-03,28554.77083333333,38126.0,22884.0,15242.0,4491.574377749013,65.31833333333334,87.87,58.05,29.820000000000007,8.233792335970351,9.530480425605909,29.820000000000007,0.1260563752285527,1453.2429166666668,5700.4675,0.0,5700.4675,2106.3274478949843,2176.388645833333,3977.8775,1287.59,2690.2875000000004,780.0374743164795,,6,1,3,0.84,0.81,0.91,2.25,0.9,0.67,False,1.0,6.123233995736766e-17
2024-03-04,30823.27083333333,38336.5,23801.5,14535.0,4600.585021823353,67.55833333333334,89.04,47.55,41.49000000000001,9.645659833478916,13.10493890903441,41.49000000000001,0.1427752781568359,1220.5333333333333,5043.99,0.0,5043.99,1813.7087876424807,5615.6571875,12878.345,1001.275,11877.07,4288.49180270907,,0,0,3,0.9,1.53,0.59,1.9,1.15,0.4,False,1.0,6.123233995736766e-17
2024-03-05,31278.625,39974.0,22582.0,17392.0,5478.292697090948,64.33541666666666,89.64,45.86,43.78,12.092680495157849,10.973358430220674,43.78,0.1879630399817288,1623.9990625,6257.235000000001,0.0,6257.235000000001,2329.9250193736198,5985.980625,12071.9375,2911.3275000000003,9160.61,2681.126305180246,,1,0,3,0.46,1.35,0.5,3.0,1.0,0.5,False,1.0,6.123233995736766e-17
2024-03-06,31193.64583333333,38709.0,23775.0,14934.0,4603.156356805541,67.47541666666667,85.68,58.9,26.78000000000001,8.506412915465942,11.073686528583586,26.78000000000001,0.1260668453147644,1331.6245833333332,5188.5675,0.0,5188.5675,1903.23156502712,4892.318958333333,6684.795,3043.345,3641.45,1199.694318837755,,2,0,3,0.52,1.38,0.49,2.41,1.48,0.5,False,1.0,6.123233995736766e-17
2024-03-07,30297.39583333333,38345.0,23086.5,15258.5,4776.511112997705,61.83791666666667,75.41,51.89,23.52,7.52537503278461,9.870738622432512,23.52,0.1216951578972115,1287.3310416666666,4779.0125,0.0,4779.0125,1796.3654527278968,8667.472395833332,12869.285,5472.005,7397.28,2691.569924942836,,3,0,3,0.74,2.35,0.75,1.77,1.25,0.5,False,1.0,6.123233995736766e-17
2024-03-08,28334.5,35705.0,21952.5,13752.5,4037.144680824933,48.67166666666666,71.37,27.49,43.88000000000001,12.75492084636755,11.598005370382811,43.88000000000001,0.2620604906283783,1598.1479166666668,5982.27,0.0,5982.27,2257.9981491583503,13660.228229166663,14977.2,11076.0825,3901.1175,1362.77030562099,,4,0,3,0.51,1.21,0.75,1.8,1.2,0.5,False,1.0,6.123233995736766e-17
2024-03-09,25878.9375,33454.5,20060.0,13394.5,3683.248003409432,45.13875,72.31,22.61,49.7,13.320134583632663,11.028012815855188,49.7,0.2950931202931554,1145.715416666667,4500.3225,0.0,4500.3225,1670.263800563445,13587.239270833334,14043.74,12746.99,1296.75,387.1697741073364,,5,1,3,0.71,0.84,0.84,2.87,1.43,0.75,False,1.0,6.123233995736766e-17
