dtutc,dcl_price
2023-12-31 23:00:00+00:00,1.14
2024-01-01 03:00:00+00:00,0.78
2024-01-01 07:00:00+00:00,1.34
2024-01-01 11:00:00+00:00,1.25
2024-01-01 15:00:00+00:00,5.61
2024-01-01 19:00:00+00:00,1.73
2024-01-01 23:00:00+00:00,0.95
2024-01-02 03:00:00+00:00,0.8
2024-01-02 07:00:00+00:00,1.34
2024-01-02 11:00:00+00:00,1.05
2024-01-02 15:00:00+00:00,1.99
2024-01-02 19:00:00+00:00,1.3
2024-01-02 23:00:00+00:00,0.55
2024-01-03 03:00:00+00:00,0.65
2024-01-03 07:00:00+00:00,1.3
2024-01-03 11:00:00+00:00,1.07
2024-01-03 15:00:00+00:00,3.01
2024-01-03 19:00:00+00:00,1.29
2024-01-03 23:00:00+00:00,0.88
2024-01-04 03:00:00+00:00,0.62
2024-01-04 07:00:00+00:00,1.22
2024-01-04 11:00:00+00:00,1.24
2024-01-04 15:00:00+00:00,3.28
2024-01-04 19:00:00+00:00,1.25
2024-01-04 23:00:00+00:00,0.78
2024-01-05 03:00:00+00:00,0.63
2024-01-05 07:00:00+00:00,1.42
2024-01-05 11:00:00+00:00,1.08
2024-01-05 15:00:00+00:00,2.5
2024-01-05 19:00:00+00:00,1.5
2024-01-05 23:00:00+00:00,0.43
2024-01-06 03:00:00+00:00,0.55
2024-01-06 07:00:00+00:00,1.41
2024-01-06 11:00:00+00:00,1.05
2024-01-06 15:00:00+00:00,2.68
2024-01-06 19:00:00+00:00,1.51
2024-01-06 23:00:00+00:00,0.7
2024-01-07 03:00:00+00:00,0.95
2024-01-07 07:00:00+00:00,1.46
2024-01-07 11:00:00+00:00,0.86
2024-01-07 15:00:00+00:00,2.84
2024-01-07 19:00:00+00:00,1.56
2024-01-07 23:00:00+00:00,0.72
2024-01-08 03:00:00+00:00,0.85
2024-01-08 07:00:00+00:00,1.19
2024-01-08 11:00:00+00:00,0.96
2024-01-08 15:00:00+00:00,9.21
2024-01-08 19:00:00+00:00,1.57
2024-01-08 23:00:00+00:00,0.94
2024-01-09 03:00:00+00:00,0.87
2024-01-09 07:00:00+00:00,1.28
2024-01-09 11:00:00+00:00,1.13
2024-01-09 15:00:00+00:00,9.82
2024-01-09 19:00:00+00:00,1.68
2024-01-09 23:00:00+00:00,0.69
2024-01-10 03:00:00+00:00,0.9
2024-01-10 07:00:00+00:00,1.28
2024-01-10 11:00:00+00:00,1.1
2024-01-10 15:00:00+00:00,5.07
2024-01-10 19:00:00+00:00,1.62
2024-01-10 23:00:00+00:00,1.3
2024-01-11 03:00:00+00:00,0.82
2024-01-11 07:00:00+00:00,1.91
2024-01-11 11:00:00+00:00,1.12
2024-01-11 15:00:00+00:00,3.17
2024-01-11 19:00:00+00:00,1.44
2024-01-11 23:00:00+00:00,0.69
2024-01-12 03:00:00+00:00,0.82
2024-01-12 07:00:00+00:00,1.4
2024-01-12 11:00:00+00:00,0.72
2024-01-12 15:00:00+00:00,1.61
2024-01-12 19:00:00+00:00,1.33
2024-01-12 23:00:00+00:00,-0.25
2024-01-13 03:00:00+00:00,0.02
2024-01-13 07:00:00+00:00,1.11
2024-01-13 11:00:00+00:00,0.6
2024-01-13 15:00:00+00:00,1.26
2024-01-13 19:00:00+00:00,0.95
2024-01-13 23:00:00+00:00,0.22
2024-01-14 03:00:00+00:00,-0.02
2024-01-14 07:00:00+00:00,1.0
2024-01-14 11:00:00+00:00,0.5
2024-01-14 15:00:00+00:00,1.43
2024-01-14 19:00:00+00:00,0.9
2024-01-14 23:00:00+00:00,-0.29
2024-01-15 03:00:00+00:00,-0.71
2024-01-15 07:00:00+00:00,1.17
2024-01-15 11:00:00+00:00,0.74
2024-01-15 15:00:00+00:00,6.2
2024-01-15 19:00:00+00:00,1.46
2024-01-15 23:00:00+00:00,0.63
2024-01-16 03:00:00+00:00,0.7
2024-01-16 07:00:00+00:00,1.53
2024-01-16 11:00:00+00:00,1.06
2024-01-16 15:00:00+00:00,5.5
2024-01-16 19:00:00+00:00,1.49
2024-01-16 23:00:00+00:00,0.69
2024-01-17 03:00:00+00:00,0.5
2024-01-17 07:00:00+00:00,1.44
2024-01-17 11:00:00+00:00,0.98
2024-01-17 15:00:00+00:00,8.75
2024-01-17 19:00:00+00:00,1.81
2024-01-17 23:00:00+00:00,0.63
2024-01-18 03:00:00+00:00,0.64
2024-01-18 07:00:00+00:00,1.5
2024-01-18 11:00:00+00:00,0.71
2024-01-18 15:00:00+00:00,11.82
2024-01-18 19:00:00+00:00,1.28
2024-01-18 23:00:00+00:00,0.66
2024-01-19 03:00:00+00:00,0.78
2024-01-19 07:00:00+00:00,1.35
2024-01-19 11:00:00+00:00,0.95
2024-01-19 15:00:00+00:00,1.49
2024-01-19 19:00:00+00:00,1.22
2024-01-19 23:00:00+00:00,0.55
2024-01-20 03:00:00+00:00,0.7
2024-01-20 07:00:00+00:00,1.25
2024-01-20 11:00:00+00:00,0.74
2024-01-20 15:00:00+00:00,1.14
2024-01-20 19:00:00+00:00,1.0
2024-01-20 23:00:00+00:00,0.55
2024-01-21 03:00:00+00:00,0.55
2024-01-21 07:00:00+00:00,0.94
2024-01-21 11:00:00+00:00,0.71
2024-01-21 15:00:00+00:00,1.83
2024-01-21 19:00:00+00:00,1.08
2024-01-21 23:00:00+00:00,0.75
2024-01-22 03:00:00+00:00,0.98
2024-01-22 07:00:00+00:00,1.81
2024-01-22 11:00:00+00:00,1.08
2024-01-22 15:00:00+00:00,2.61
2024-01-22 19:00:00+00:00,1.49
2024-01-22 23:00:00+00:00,0.6
2024-01-23 03:00:00+00:00,0.89
2024-01-23 07:00:00+00:00,4.31
2024-01-23 11:00:00+00:00,0.8
2024-01-23 15:00:00+00:00,2.37
2024-01-23 19:00:00+00:00,1.12
2024-01-23 23:00:00+00:00,0.58
2024-01-24 03:00:00+00:00,1.0
2024-01-24 07:00:00+00:00,1.49
2024-01-24 11:00:00+00:00,1.08
2024-01-24 15:00:00+00:00,1.86
2024-01-24 19:00:00+00:00,2.0
2024-01-24 23:00:00+00:00,1.0
2024-01-25 03:00:00+00:00,0.96
2024-01-25 07:00:00+00:00,2.0
2024-01-25 11:00:00+00:00,1.0
2024-01-25 15:00:00+00:00,2.0
2024-01-25 19:00:00+00:00,1.27
2024-01-25 23:00:00+00:00,0.9
2024-01-26 03:00:00+00:00,1.1
2024-01-26 07:00:00+00:00,1.91
2024-01-26 11:00:00+00:00,1.08
2024-01-26 15:00:00+00:00,2.89
2024-01-26 19:00:00+00:00,1.49
2024-01-26 23:00:00+00:00,0.61
2024-01-27 03:00:00+00:00,0.98
2024-01-27 07:00:00+00:00,1.08
2024-01-27 11:00:00+00:00,1.04
2024-01-27 15:00:00+00:00,2.44
2024-01-27 19:00:00+00:00,1.13
2024-01-27 23:00:00+00:00,0.5
2024-01-28 03:00:00+00:00,0.72
2024-01-28 07:00:00+00:00,1.11
2024-01-28 11:00:00+00:00,0.93
2024-01-28 15:00:00+00:00,2.87
2024-01-28 19:00:00+00:00,1.35
2024-01-28 23:00:00+00:00,0.93
2024-01-29 03:00:00+00:00,0.79
2024-01-29 07:00:00+00:00,1.44
2024-01-29 11:00:00+00:00,0.95
2024-01-29 15:00:00+00:00,5.59
2024-01-29 19:00:00+00:00,1.49
2024-01-29 23:00:00+00:00,1.01
2024-01-30 03:00:00+00:00,0.9
2024-01-30 07:00:00+00:00,1.5
2024-01-30 11:00:00+00:00,0.87
2024-01-30 15:00:00+00:00,5.43
2024-01-30 19:00:00+00:00,1.5
2024-01-30 23:00:00+00:00,0.9
2024-01-31 03:00:00+00:00,0.92
2024-01-31 07:00:00+00:00,1.56
2024-01-31 11:00:00+00:00,1.0
2024-01-31 15:00:00+00:00,1.28
2024-01-31 19:00:00+00:00,1.25
2024-01-31 23:00:00+00:00,0.79
2024-02-01 03:00:00+00:00,0.7
2024-02-01 07:00:00+00:00,1.57
2024-02-01 11:00:00+00:00,1.07
2024-02-01 15:00:00+00:00,2.13
2024-02-01 19:00:00+00:00,1.5
2024-02-01 23:00:00+00:00,0.55
2024-02-02 03:00:00+00:00,0.62
2024-02-02 07:00:00+00:00,1.5
2024-02-02 11:00:00+00:00,0.81
2024-02-02 15:00:00+00:00,2.27
2024-02-02 19:00:00+00:00,1.5
2024-02-02 23:00:00+00:00,0.65
2024-02-03 03:00:00+00:00,0.48
2024-02-03 07:00:00+00:00,1.15
2024-02-03 11:00:00+00:00,0.94
2024-02-03 15:00:00+00:00,3.0
2024-02-03 19:00:00+00:00,0.98
2024-02-03 23:00:00+00:00,0.45
2024-02-04 03:00:00+00:00,0.52
2024-02-04 07:00:00+00:00,0.99
2024-02-04 11:00:00+00:00,0.87
2024-02-04 15:00:00+00:00,4.0
2024-02-04 19:00:00+00:00,1.2
2024-02-04 23:00:00+00:00,0.45
2024-02-05 03:00:00+00:00,1.0
2024-02-05 07:00:00+00:00,1.11
2024-02-05 11:00:00+00:00,0.92
2024-02-05 15:00:00+00:00,2.0
2024-02-05 19:00:00+00:00,1.28
2024-02-05 23:00:00+00:00,0.51
2024-02-06 03:00:00+00:00,0.5
2024-02-06 07:00:00+00:00,1.49
2024-02-06 11:00:00+00:00,1.05
2024-02-06 15:00:00+00:00,2.2
2024-02-06 19:00:00+00:00,1.5
2024-02-06 23:00:00+00:00,0.61
2024-02-07 03:00:00+00:00,0.61
2024-02-07 07:00:00+00:00,1.2
2024-02-07 11:00:00+00:00,0.89
2024-02-07 15:00:00+00:00,8.25
2024-02-07 19:00:00+00:00,1.49
2024-02-07 23:00:00+00:00,0.67
2024-02-08 03:00:00+00:00,0.76
2024-02-08 07:00:00+00:00,1.94
2024-02-08 11:00:00+00:00,0.91
2024-02-08 15:00:00+00:00,1.5
2024-02-08 19:00:00+00:00,1.5
2024-02-08 23:00:00+00:00,0.64
2024-02-09 03:00:00+00:00,0.5
2024-02-09 07:00:00+00:00,1.4
2024-02-09 11:00:00+00:00,0.84
2024-02-09 15:00:00+00:00,1.74
2024-02-09 19:00:00+00:00,1.49
2024-02-09 23:00:00+00:00,0.59
2024-02-10 03:00:00+00:00,0.5
2024-02-10 07:00:00+00:00,0.97
2024-02-10 11:00:00+00:00,0.95
2024-02-10 15:00:00+00:00,1.95
2024-02-10 19:00:00+00:00,1.0
2024-02-10 23:00:00+00:00,0.5
2024-02-11 03:00:00+00:00,0.59
2024-02-11 07:00:00+00:00,1.02
2024-02-11 11:00:00+00:00,1.08
2024-02-11 15:00:00+00:00,2.08
2024-02-11 19:00:00+00:00,0.99
2024-02-11 23:00:00+00:00,0.5
2024-02-12 03:00:00+00:00,0.7
2024-02-12 07:00:00+00:00,1.78
2024-02-12 11:00:00+00:00,1.23
2024-02-12 15:00:00+00:00,2.25
2024-02-12 19:00:00+00:00,1.6
2024-02-12 23:00:00+00:00,0.58
2024-02-13 03:00:00+00:00,0.58
2024-02-13 07:00:00+00:00,1.67
2024-02-13 11:00:00+00:00,0.9
2024-02-13 15:00:00+00:00,2.6
2024-02-13 19:00:00+00:00,1.5
2024-02-13 23:00:00+00:00,0.51
2024-02-14 03:00:00+00:00,0.55
2024-02-14 07:00:00+00:00,1.35
2024-02-14 11:00:00+00:00,0.84
2024-02-14 15:00:00+00:00,2.16
2024-02-14 19:00:00+00:00,1.3
2024-02-14 23:00:00+00:00,0.5
2024-02-15 03:00:00+00:00,0.5
2024-02-15 07:00:00+00:00,1.3
2024-02-15 11:00:00+00:00,0.82
2024-02-15 15:00:00+00:00,1.75
2024-02-15 19:00:00+00:00,1.14
2024-02-15 23:00:00+00:00,0.7
2024-02-16 03:00:00+00:00,0.6
2024-02-16 07:00:00+00:00,1.3
2024-02-16 11:00:00+00:00,1.14
2024-02-16 15:00:00+00:00,2.2
2024-02-16 19:00:00+00:00,1.37
2024-02-16 23:00:00+00:00,0.7
2024-02-17 03:00:00+00:00,0.7
2024-02-17 07:00:00+00:00,1.29
2024-02-17 11:00:00+00:00,1.0
2024-02-17 15:00:00+00:00,1.49
2024-02-17 19:00:00+00:00,0.93
2024-02-17 23:00:00+00:00,0.4
2024-02-18 03:00:00+00:00,0.21
2024-02-18 07:00:00+00:00,1.0
2024-02-18 11:00:00+00:00,0.82
2024-02-18 15:00:00+00:00,2.35
2024-02-18 19:00:00+00:00,1.0
2024-02-18 23:00:00+00:00,0.52
2024-02-19 03:00:00+00:00,0.2
2024-02-19 07:00:00+00:00,1.17
2024-02-19 11:00:00+00:00,0.91
2024-02-19 15:00:00+00:00,2.16
2024-02-19 19:00:00+00:00,1.06
2024-02-19 23:00:00+00:00,0.5
2024-02-20 03:00:00+00:00,0.71
2024-02-20 07:00:00+00:00,1.16
2024-02-20 11:00:00+00:00,0.9
2024-02-20 15:00:00+00:00,1.51
2024-02-20 19:00:00+00:00,1.0
2024-02-20 23:00:00+00:00,0.5
2024-02-21 03:00:00+00:00,0.49
2024-02-21 07:00:00+00:00,1.19
2024-02-21 11:00:00+00:00,0.8
2024-02-21 15:00:00+00:00,1.56
2024-02-21 19:00:00+00:00,1.44
2024-02-21 23:00:00+00:00,0.4
2024-02-22 03:00:00+00:00,0.57
2024-02-22 07:00:00+00:00,1.0
2024-02-22 11:00:00+00:00,0.75
2024-02-22 15:00:00+00:00,1.69
2024-02-22 19:00:00+00:00,1.23
2024-02-22 23:00:00+00:00,0.51
2024-02-23 03:00:00+00:00,0.5
2024-02-23 07:00:00+00:00,1.25
2024-02-23 11:00:00+00:00,1.02
2024-02-23 15:00:00+00:00,1.9
2024-02-23 19:00:00+00:00,2.32
2024-02-23 23:00:00+00:00,0.5
2024-02-24 03:00:00+00:00,0.51
2024-02-24 07:00:00+00:00,1.08
2024-02-24 11:00:00+00:00,0.68
2024-02-24 15:00:00+00:00,2.25
2024-02-24 19:00:00+00:00,1.02
2024-02-24 23:00:00+00:00,0.08
2024-02-25 03:00:00+00:00,0.4
2024-02-25 07:00:00+00:00,0.9
2024-02-25 11:00:00+00:00,0.7
2024-02-25 15:00:00+00:00,1.43
2024-02-25 19:00:00+00:00,0.86
2024-02-25 23:00:00+00:00,0.45
2024-02-26 03:00:00+00:00,1.0
2024-02-26 07:00:00+00:00,1.25
2024-02-26 11:00:00+00:00,1.1
2024-02-26 15:00:00+00:00,3.5
2024-02-26 19:00:00+00:00,1.58
2024-02-26 23:00:00+00:00,0.4
2024-02-27 03:00:00+00:00,1.0
2024-02-27 07:00:00+00:00,1.45
2024-02-27 11:00:00+00:00,0.6
2024-02-27 15:00:00+00:00,2.12
2024-02-27 19:00:00+00:00,1.33
2024-02-27 23:00:00+00:00,0.65
2024-02-28 03:00:00+00:00,0.9
2024-02-28 07:00:00+00:00,2.3
2024-02-28 11:00:00+00:00,1.36
2024-02-28 15:00:00+00:00,1.5
2024-02-28 19:00:00+00:00,1.25
2024-02-28 23:00:00+00:00,0.5
2024-02-29 03:00:00+00:00,0.55
2024-02-29 07:00:00+00:00,0.75
2024-02-29 11:00:00+00:00,0.6
2024-02-29 15:00:00+00:00,1.79
2024-02-29 19:00:00+00:00,1.93
2024-02-29 23:00:00+00:00,0.5
2024-03-01 03:00:00+00:00,0.5
2024-03-01 07:00:00+00:00,1.51
2024-03-01 11:00:00+00:00,1.25
2024-03-01 15:00:00+00:00,2.46
2024-03-01 19:00:00+00:00,1.52
2024-03-01 23:00:00+00:00,0.0
2024-03-02 03:00:00+00:00,0.0
2024-03-02 07:00:00+00:00,4.81
2024-03-02 11:00:00+00:00,0.5
2024-03-02 15:00:00+00:00,2.5
2024-03-02 19:00:00+00:00,0.9
2024-03-02 23:00:00+00:00,0.4
2024-03-03 03:00:00+00:00,0.84
2024-03-03 07:00:00+00:00,0.81
2024-03-03 11:00:00+00:00,0.91
2024-03-03 15:00:00+00:00,2.25
2024-03-03 19:00:00+00:00,0.9
2024-03-03 23:00:00+00:00,0.67
2024-03-04 03:00:00+00:00,0.9
2024-03-04 07:00:00+00:00,1.53
2024-03-04 11:00:00+00:00,0.59
2024-03-04 15:00:00+00:00,1.9
2024-03-04 19:00:00+00:00,1.15
2024-03-04 23:00:00+00:00,0.4
2024-03-05 03:00:00+00:00,0.46
2024-03-05 07:00:00+00:00,1.35
2024-03-05 11:00:00+00:00,0.5
2024-03-05 15:00:00+00:00,3.0
2024-03-05 19:00:00+00:00,1.0
2024-03-05 23:00:00+00:00,0.5
2024-03-06 03:00:00+00:00,0.52
2024-03-06 07:00:00+00:00,1.38
2024-03-06 11:00:00+00:00,0.49
2024-03-06 15:00:00+00:00,2.41
2024-03-06 19:00:00+00:00,1.48
2024-03-06 23:00:00+00:00,0.5
2024-03-07 03:00:00+00:00,0.74
2024-03-07 07:00:00+00:00,2.35
2024-03-07 11:00:00+00:00,0.75
2024-03-07 15:00:00+00:00,1.77
2024-03-07 19:00:00+00:00,1.25
2024-03-07 23:00:00+00:00,0.5
2024-03-08 03:00:00+00:00,0.51
2024-03-08 07:00:00+00:00,1.21
2024-03-08 11:00:00+00:00,0.75
