date,closest_reference_day,euclidean_distance
2024-08-01,2024-07-31,4.018684608952725
2024-08-02,2024-07-22,3.975842679168725
2024-08-03,2024-06-13,3.2012421893961784
2024-08-04,2024-07-16,4.69342912716662
2024-08-05,2024-07-07,14.256811640485797
2024-08-06,2024-08-02,3.375587709287365
2024-08-07,2024-07-14,8.688049992332619
2024-08-08,2024-07-10,11.02831626170267
2024-08-09,2024-07-04,28.55763167176546
2024-08-10,2024-06-28,7.544519713415739
2024-08-11,2024-07-12,1.0884992977766994
2024-08-12,2024-06-28,13.357275903188002
2024-08-13,2024-06-16,6.020830529408477
2024-08-14,2024-08-03,3.672135039224351
2024-08-15,2024-06-27,12.766921264915588
2024-08-16,2024-08-05,6.712390798453227
2024-08-17,2024-08-05,6.669529682177344
2024-08-18,2024-08-12,9.464061134683964
2024-08-19,2024-07-19,4.823711302876868
2024-08-20,2024-08-07,5.931023758354227
2024-08-21,2024-08-10,9.122069179548346
2024-08-22,2024-06-28,13.28329201894375
2024-08-23,2024-08-22,17.522935352989567
2024-08-24,2024-06-27,4.474297449324473
2024-08-25,2024-08-09,19.859181023361625
2024-08-26,2024-08-12,13.794608721318808
2024-08-27,2024-08-26,10.594327949383926
2024-08-28,2024-07-18,7.883058089036669
2024-08-29,2024-08-13,17.480156475449274
2024-08-30,2024-07-08,5.836903693578769
2024-08-31,2024-08-27,11.285106490318494
2024-09-01,2024-08-12,4.865989201316144
2024-09-02,2024-08-30,7.915037765408944
2024-09-03,2024-09-02,7.235653052574083
2024-09-04,2024-09-02,4.400433868352435
2024-09-05,2024-08-03,2.2767580265683796
2024-09-06,2024-08-13,6.651438341525252
2024-09-07,2024-08-01,6.690270507377033
2024-09-08,2024-07-29,4.292818505548949
2024-09-09,2024-08-28,4.162891179312408
2024-09-10,2024-08-10,6.630439043645863
2024-09-11,2024-08-12,12.4922091106763
2024-09-12,2024-09-09,11.179297421430547
2024-09-13,2024-08-30,5.331540188125407
2024-09-14,2024-08-31,7.119702402600575
2024-09-15,2024-09-09,11.067643060243638
2024-09-16,2024-08-30,6.1211029528503955
2024-09-17,2024-07-31,3.518454612246573
2024-09-18,2024-07-31,2.001516303551348
2024-09-19,2024-09-17,5.264136021194421
2024-09-20,2024-09-19,2.5966248833400942
2024-09-21,2024-07-30,2.3611206651158865
2024-09-22,2024-09-13,4.518549429117261
2024-09-23,2024-09-03,14.773406801942105
2024-09-24,2024-09-22,3.626325426611173
2024-09-25,2024-09-23,9.359361511467474
2024-09-26,2024-08-02,4.240466988820525
2024-09-27,2024-08-18,9.355786474603004
2024-09-28,2024-08-29,12.637328687482627
2024-09-29,2024-09-28,14.000052454115187
2024-09-30,2024-08-31,13.019828231031589
2024-10-01,2024-09-30,12.71066075003762
2024-10-02,2024-08-28,6.318268359268885
2024-10-03,2024-09-25,8.031034526440449
2024-10-04,2024-10-02,3.972352786001773
2024-10-05,2024-09-28,2.708715413649575
2024-10-06,2024-10-01,13.402886087592593
2024-10-07,2024-09-23,35.263866824584284
2024-10-08,2024-09-02,4.387008232987615
2024-10-09,2024-09-12,5.079394986671792
2024-10-10,2024-10-06,7.7166065295197654
2024-10-11,2024-09-25,4.1829870402075855
2024-10-12,2024-08-17,15.251599064717542
2024-10-13,2024-09-11,47.253275436646135
2024-10-14,2024-10-07,38.9448557855311
2024-10-15,2024-09-25,5.367906339355821
2024-10-16,2024-09-30,12.429348342670423
2024-10-17,2024-10-07,13.377997071279955
2024-10-18,2024-10-04,5.631546094398184
2024-10-19,2024-09-13,3.798064187027582
2024-10-20,2024-08-21,6.441092319038895
2024-10-21,2024-10-13,13.715670086888847
2024-10-22,2024-10-17,6.577710300291506
2024-10-23,2024-09-23,4.139149504614634
2024-10-24,2024-10-09,13.581705827907188
2024-10-25,2024-10-07,23.014914907148338
2024-10-26,2024-10-08,5.0542782478233885
2024-10-27,2024-10-24,6.7621202108802905
2024-10-28,2024-10-07,10.835031332660792
2024-10-29,2024-10-14,15.25823608227811
2024-10-30,2024-10-14,7.298635149668915
2024-10-31,2024-09-04,3.3930187570214714
