date,closest_reference_days,distance
2024-07-31,"[Timestamp('2024-07-23 00:00:00'), Timestamp('2024-06-25 00:00:00'), Timestamp('2024-06-18 00:00:00'), Timestamp('2024-06-24 00:00:00'), Timestamp('2024-06-17 00:00:00')]",2425.361975054221
2024-08-01,"[Timestamp('2024-07-31 00:00:00'), Timestamp('2024-07-23 00:00:00'), Timestamp('2024-06-25 00:00:00'), Timestamp('2024-06-12 00:00:00'), Timestamp('2024-06-18 00:00:00')]",1874.3988853032586
2024-08-02,"[Timestamp('2024-07-24 00:00:00'), Timestamp('2024-06-26 00:00:00'), Timestamp('2024-07-01 00:00:00'), Timestamp('2024-06-21 00:00:00'), Timestamp('2024-06-22 00:00:00')]",4791.219646049377
2024-08-03,"[Timestamp('2024-07-21 00:00:00'), Timestamp('2024-07-26 00:00:00'), Timestamp('2024-07-27 00:00:00'), Timestamp('2024-06-30 00:00:00'), Timestamp('2024-06-29 00:00:00')]",2612.24263955585
2024-08-04,"[Timestamp('2024-07-01 00:00:00'), Timestamp('2024-08-02 00:00:00'), Timestamp('2024-07-24 00:00:00'), Timestamp('2024-06-23 00:00:00'), Timestamp('2024-06-16 00:00:00')]",5918.802360171963
2024-08-05,"[Timestamp('2024-06-10 00:00:00'), Timestamp('2024-06-09 00:00:00'), Timestamp('2024-06-14 00:00:00'), Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-02 00:00:00')]",3190.6046635646103
2024-08-06,"[Timestamp('2024-07-02 00:00:00'), Timestamp('2024-06-11 00:00:00'), Timestamp('2024-07-22 00:00:00'), Timestamp('2024-07-25 00:00:00'), Timestamp('2024-06-15 00:00:00')]",2571.5596459304707
2024-08-07,"[Timestamp('2024-06-10 00:00:00'), Timestamp('2024-06-14 00:00:00'), Timestamp('2024-08-05 00:00:00'), Timestamp('2024-06-27 00:00:00'), Timestamp('2024-07-03 00:00:00')]",1116.7143468374334
2024-08-08,"[Timestamp('2024-07-03 00:00:00'), Timestamp('2024-06-14 00:00:00'), Timestamp('2024-06-13 00:00:00'), Timestamp('2024-07-01 00:00:00'), Timestamp('2024-08-07 00:00:00')]",1699.1811339270243
2024-08-09,"[Timestamp('2024-06-27 00:00:00'), Timestamp('2024-06-10 00:00:00'), Timestamp('2024-08-07 00:00:00'), Timestamp('2024-06-28 00:00:00'), Timestamp('2024-07-04 00:00:00')]",3196.7901415803335
