date,closest_reference_days,distance
2024-07-30,[Timestamp('2024-07-18 00:00:00')],0.0007445830375925055
2024-07-31,[Timestamp('2024-06-19 00:00:00')],0.0005745104577067339
2024-08-01,[Timestamp('2024-06-25 00:00:00')],0.0003176295268637608
2024-08-02,[Timestamp('2024-06-21 00:00:00')],0.0027814393073090082
2024-08-03,[Timestamp('2024-07-18 00:00:00')],0.0014051773324710304
2024-08-04,[Timestamp('2024-06-14 00:00:00')],0.0036674382738793865
2024-08-05,[Timestamp('2024-07-10 00:00:00')],0.0023234290904844412
2024-08-06,[Timestamp('2024-06-15 00:00:00')],0.0005813584254380499
2024-08-07,[Timestamp('2024-07-10 00:00:00')],0.0015454112417602195
2024-08-08,[Timestamp('2024-07-03 00:00:00')],0.0008511896641557604
2024-08-09,[Timestamp('2024-06-27 00:00:00')],0.004664165352631033
2024-08-10,[Timestamp('2024-06-14 00:00:00')],0.0006565666765335765
2024-08-11,[Timestamp('2024-07-24 00:00:00')],0.01098908523137676
2024-08-12,[Timestamp('2024-06-28 00:00:00')],0.0031982839060538115
2024-08-13,[Timestamp('2024-08-06 00:00:00')],0.000765176658329314
2024-08-14,[Timestamp('2024-07-14 00:00:00')],0.0010155781847912548
2024-08-15,[Timestamp('2024-08-07 00:00:00')],0.0016849263382326951
2024-08-16,[Timestamp('2024-07-19 00:00:00')],0.000746266016726449
2024-08-17,[Timestamp('2024-08-16 00:00:00')],0.00162401516326649
2024-08-18,[Timestamp('2024-08-16 00:00:00')],0.0034636040081850172
2024-08-19,[Timestamp('2024-07-05 00:00:00')],0.0003767198651228876
2024-08-20,[Timestamp('2024-08-09 00:00:00')],0.0015557903433129905
2024-08-21,[Timestamp('2024-07-04 00:00:00')],0.0026077642280118996
2024-08-22,[Timestamp('2024-08-08 00:00:00')],0.0062715827972895655
2024-08-23,[Timestamp('2024-06-27 00:00:00')],0.0022113317230225693
2024-08-24,[Timestamp('2024-07-03 00:00:00')],0.002767912126049321
2024-08-25,[Timestamp('2024-08-21 00:00:00')],0.001118817599177202
