date,closest_reference_days,distance
2024-01-01,[Timestamp('2023-12-31 00:00:00')],9942.994714418352
2024-01-02,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2023-12-31 00:00:00')]",3099.282641583245
2024-01-03,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-12-31 00:00:00')]",5021.814954118283
2024-01-04,"[Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2023-12-31 00:00:00')]",6616.595556143555
2024-01-05,"[Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-02 00:00:00')]",3672.351175966526
2024-01-06,"[Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-01 00:00:00')]",1742.0757968675841
2024-01-07,"[Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-31 00:00:00')]",1874.752062228516
2024-01-08,"[Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-05 00:00:00')]",4279.564961182746
2024-01-09,"[Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-08 00:00:00')]",3939.7175370871155
2024-01-10,"[Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-07 00:00:00'), Timestamp('2024-01-08 00:00:00')]",3156.708476865304
2024-01-11,"[Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-10 00:00:00'), Timestamp('2024-01-07 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-06 00:00:00')]",1755.1579307140885
2024-01-12,"[Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-11 00:00:00'), Timestamp('2024-01-07 00:00:00'), Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-06 00:00:00')]",1424.9675718952888
2024-01-13,"[Timestamp('2024-01-05 00:00:00'), Timestamp('2024-01-11 00:00:00'), Timestamp('2024-01-06 00:00:00'), Timestamp('2024-01-10 00:00:00'), Timestamp('2024-01-07 00:00:00')]",1819.9042118638808
2024-01-14,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-09 00:00:00')]",2274.700350167334
2024-01-15,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-14 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-03 00:00:00')]",4474.351541889786
2024-01-16,"[Timestamp('2024-01-10 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-14 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-09 00:00:00')]",3917.505049130642
2024-01-17,"[Timestamp('2024-01-16 00:00:00'), Timestamp('2024-01-10 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-11 00:00:00'), Timestamp('2024-01-04 00:00:00')]",2897.5198555949146
2024-01-18,"[Timestamp('2024-01-16 00:00:00'), Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-14 00:00:00'), Timestamp('2024-01-17 00:00:00')]",2984.3665542860736
2024-01-19,"[Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-18 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-16 00:00:00')]",4261.837299526728
2024-01-20,"[Timestamp('2024-01-19 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-15 00:00:00')]",7248.500316073211
2024-01-21,"[Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-19 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-09 00:00:00')]",443.3710483225849
2024-01-22,"[Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-19 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-15 00:00:00')]",3331.724098317901
2024-01-23,"[Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-22 00:00:00'), Timestamp('2023-12-31 00:00:00'), Timestamp('2024-01-02 00:00:00')]",2604.0320097721856
2024-01-24,"[Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-14 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-19 00:00:00')]",3137.0184305835037
2024-01-25,"[Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-14 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-24 00:00:00'), Timestamp('2024-01-08 00:00:00')]",4372.491239232402
2024-01-26,"[Timestamp('2024-01-19 00:00:00'), Timestamp('2024-01-22 00:00:00'), Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-15 00:00:00')]",3459.4663326345785
2024-01-27,"[Timestamp('2024-01-19 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-26 00:00:00'), Timestamp('2024-01-18 00:00:00'), Timestamp('2024-01-03 00:00:00')]",3480.8441785711448
2024-01-28,"[Timestamp('2024-01-27 00:00:00'), Timestamp('2024-01-19 00:00:00'), Timestamp('2024-01-26 00:00:00'), Timestamp('2024-01-22 00:00:00'), Timestamp('2024-01-20 00:00:00')]",2883.3605479446405
2024-01-29,"[Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-17 00:00:00'), Timestamp('2024-01-04 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-10 00:00:00')]",2108.1420729838333
2024-01-30,"[Timestamp('2024-01-10 00:00:00'), Timestamp('2024-01-03 00:00:00'), Timestamp('2024-01-13 00:00:00'), Timestamp('2024-01-09 00:00:00'), Timestamp('2024-01-16 00:00:00')]",2169.77997157996
2024-01-31,"[Timestamp('2024-01-24 00:00:00'), Timestamp('2024-01-01 00:00:00'), Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-02 00:00:00'), Timestamp('2024-01-14 00:00:00')]",1486.0997699994534
2024-02-01,"[Timestamp('2024-01-15 00:00:00'), Timestamp('2024-01-19 00:00:00'), Timestamp('2024-01-18 00:00:00'), Timestamp('2024-01-27 00:00:00'), Timestamp('2024-01-01 00:00:00')]",2709.132210153719
2024-02-02,"[Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-22 00:00:00'), Timestamp('2024-01-23 00:00:00'), Timestamp('2024-01-28 00:00:00')]",914.4561446515302
2024-02-03,"[Timestamp('2024-02-02 00:00:00'), Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-28 00:00:00'), Timestamp('2024-01-22 00:00:00')]",1328.952326064369
2024-02-04,"[Timestamp('2024-01-21 00:00:00'), Timestamp('2024-01-20 00:00:00'), Timestamp('2024-02-02 00:00:00'), Timestamp('2024-02-03 00:00:00'), Timestamp('2024-01-23 00:00:00')]",853.5101433829901
2024-02-05,"[Timestamp('2024-02-02 00:00:00'), Timestamp('2024-02-03 00:00:00'), Timestamp('2024-02-04 00:00:00'), Timestamp('2024-01-20 00:00:00'), Timestamp('2024-01-21 00:00:00')]",815.1169099094275
